HistoricalData. ReqId: 1 - Date: 20180706  08:30:00, Open: 15.51, High: 15.53, Low: 15.49, Close: 15.53, Volume: 3315, Count: 170, WAP: 15.501
HistoricalData. ReqId: 1 - Date: 20180706  08:31:00, Open: 15.54, High: 15.59, Low: 15.53, Close: 15.59, Volume: 1449, Count: 183, WAP: 15.56
HistoricalData. ReqId: 1 - Date: 20180706  08:32:00, Open: 15.6, High: 15.65, Low: 15.55, Close: 15.62, Volume: 1147, Count: 181, WAP: 15.607
HistoricalData. ReqId: 1 - Date: 20180706  08:33:00, Open: 15.61, High: 15.63, Low: 15.57, Close: 15.58, Volume: 571, Count: 128, WAP: 15.594
HistoricalData. ReqId: 1 - Date: 20180706  08:34:00, Open: 15.59, High: 15.64, Low: 15.59, Close: 15.64, Volume: 421, Count: 119, WAP: 15.622
HistoricalData. ReqId: 1 - Date: 20180706  08:35:00, Open: 15.64, High: 15.7, Low: 15.61, Close: 15.69, Volume: 1154, Count: 239, WAP: 15.664
HistoricalData. ReqId: 1 - Date: 20180706  08:36:00, Open: 15.69, High: 15.75, Low: 15.69, Close: 15.74, Volume: 532, Count: 207, WAP: 15.726
HistoricalData. ReqId: 1 - Date: 20180706  08:37:00, Open: 15.74, High: 15.79, Low: 15.73, Close: 15.78, Volume: 1132, Count: 177, WAP: 15.762
HistoricalData. ReqId: 1 - Date: 20180706  08:38:00, Open: 15.78, High: 15.79, Low: 15.74, Close: 15.76, Volume: 610, Count: 141, WAP: 15.771
HistoricalData. ReqId: 1 - Date: 20180706  08:39:00, Open: 15.76, High: 15.79, Low: 15.76, Close: 15.79, Volume: 250, Count: 132, WAP: 15.785
HistoricalData. ReqId: 1 - Date: 20180706  08:40:00, Open: 15.78, High: 15.8, Low: 15.78, Close: 15.79, Volume: 542, Count: 101, WAP: 15.789
HistoricalDataEnd. ReqId: 1 - Start Date: 20180705  08:40:43, End Date: 20180706  08:40:43
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:40:00, Open: 15.78, High: 15.82, Low: 15.78, Close: 15.82, Volume: 1027, Count: 188, WAP: 15.797
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:40:00, Open: 15.78, High: 15.82, Low: 15.78, Close: 15.82, Volume: 1123, Count: 217, WAP: 15.7986
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:40:00, Open: 15.78, High: 15.82, Low: 15.78, Close: 15.82, Volume: 1170, Count: 233, WAP: 15.7995
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:40:00, Open: 15.78, High: 15.82, Low: 15.78, Close: 15.82, Volume: 1170, Count: 233, WAP: 15.7995
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:40:00, Open: 15.78, High: 15.82, Low: 15.78, Close: 15.82, Volume: 1183, Count: 238, WAP: 15.7997
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:41:00, Open: 15.83, High: 15.83, Low: 15.83, Close: 15.83, Volume: 53, Count: 13, WAP: 15.83
AMD: - Date: 20180706  08:40:00, Open: 15.78, High: 15.82, Low: 15.78, Close: 15.82, Volume: 1183, Count: 238, WAP: 15.7997
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:41:00, Open: 15.83, High: 15.84, Low: 15.83, Close: 15.84, Volume: 54, Count: 14, WAP: 15.8302
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:41:00, Open: 15.83, High: 15.85, Low: 15.83, Close: 15.85, Volume: 103, Count: 25, WAP: 15.8349
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:41:00, Open: 15.83, High: 15.85, Low: 15.83, Close: 15.84, Volume: 126, Count: 35, WAP: 15.8358
